智能体类别;平均情绪值;智能体数量;情绪标准差;情绪分叉度;集群信任度;群体情绪;归一化的群体情绪
General Public;0.1865;25;0.2543;0.0196;0.29647262497294957;0.0552921445574551;0.21188946138006587
Patients & Families;0.0266;7;0.3391;0.1471;0.526076606795066;0.013993637740748754;0.0536261414232888
Medical Students;0.1795;5;0.267;0.4412;0.766284354035923;0.13754804154944816;0.5271088808557679
Policymakers;0.273;2;0.2264;0.657;0.9558537113178965;0.26094806318978575;1.0
Medical Experts;0.0906;5;0.199;0.5031;0.7595758493832503;0.06881757195412247;0.2637213363950968
Educators;0.2467;3;0.2161;0.6451;0.9318329365938108;0.22988318545769312;0.8809537907568245
Media;0.2416;4;0.2504;0.5265;0.8407271153429994;0.20311967106686865;0.7783911809268387
PUMC Alumni;0.0903;2;0.2319;0.6924;1.0;0.0903;0.3460458717194058
