智能体类别;平均情绪值;智能体数量;情绪标准差;情绪分叉度;集群信任度;群体情绪;归一化的群体情绪
General Public;0.2754;25;0.3583;0.1185;0.5831702544031311;0.16060508806262228;0.4287375548922111
Patients & Families;0.0632;7;0.4866;0.0479;0.6538649706457925;0.04132426614481409;0.1103157131468609
Medical Students;0.1664;5;0.3265;0.2444;0.698385518590998;0.11621135029354206;0.31022784381618274
Policymakers;0.3746;2;0.3267;0.491;1.0;0.3746;1.0
Medical Experts;0.1135;5;0.3706;0.2477;0.7561154598825831;0.08581910469667318;0.2290953141929343
Educators;0.3463;3;0.2507;0.5623;0.9943737769080234;0.3443516389432485;0.9192515721923346
Media;0.2553;4;0.3524;0.3502;0.8593444227005871;0.2193906311154599;0.5856663937946073
PUMC Alumni;0.3484;2;0.4015;0.3745;0.949119373776908;0.3306731898238747;0.882736758739655
