智能体类别;平均情绪值;智能体数量;情绪标准差;情绪分叉度;集群信任度;群体情绪;归一化的群体情绪
General Public;0.1738;25;0.2566;0.0;0.2932571428571428;0.05096809142857143;0.22045022244191795
Patients & Families;-0.006;7;0.2865;0.3511;0.7286857142857143;-0.004372114285714285;-0.01891052891744933
Medical Students;0.1505;5;0.2476;0.4436;0.7899428571428572;0.1188864;0.5142145328719724
Policymakers;0.2265;2;0.2269;0.6482;1.0;0.2265;0.9796712802768167
Medical Experts;0.0532;5;0.3361;0.3368;0.7691428571428572;0.0409184;0.17698269896193772
Educators;0.238;3;0.2167;0.6332;0.9714285714285714;0.2312;1.0
Media;0.1486;4;0.2051;0.5573;0.8713142857142857;0.12947730285714287;0.560022936233317
PUMC Alumni;0.1034;2;0.1939;0.6668;0.9835428571428572;0.10169833142857143;0.43987167572911523
