智能体类别;平均情绪值;智能体数量;情绪标准差;情绪分叉度;集群信任度;group emotion
普通公众;0.2883;440;0.2185;0.2004;0.5642683912691997;0.1626785772029102
患者及家属;0.1016;140;0.3197;0.0374;0.4812718943680949;0.0488972244677984
医学生;0.2834;100;0.2204;0.3527;0.7722985718135275;0.2188694152519536
政策制定者;0.43;40;0.2313;0.2417;0.6372945297763406;0.2740366478038264
医学专家;0.2216;100;0.2208;0.3428;0.7593640528159525;0.168275074104015
教育工作者;0.3834;60;0.1749;0.4807;0.8833198598760442;0.3386648342764753
媒体;0.2753;80;0.1996;0.4698;0.901913230935058;0.2482967124764214
协和校友;0.2445;40;0.1974;0.5449;1.0;0.2445
总体;0.2639;1412;0.2435;0.0;0.1217;0.03211663
