智能体类别;平均情绪值;智能体数量;情绪标准差;情绪分叉度;集群信任度;group emotion
普通公众;0.2207;440;0.2088;0.091;0.2606503216831856;0.057525525995479
患者及家属;0.1207;140;0.2388;0.0956;0.2907320466005912;0.0350913580246913
医学生;0.2188;100;0.1905;0.3967;0.5105199095809425;0.1117017562163102
政策制定者;0.3541;40;0.1779;0.5474;0.6304990436445835;0.223259711354547
医学专家;0.2271;100;0.1833;0.4968;0.5913754129716572;0.1343013562858633
教育工作者;0.3506;60;0.1502;1.0;1.0;0.3506
媒体;0.2704;80;0.1652;0.5875;0.6544948704573118;0.1769754129716571
协和校友;0.2362;40;0.1592;0.6;0.6600591201530169;0.1559059641801426
总体;0.2254;1414;0.2074;0.0;0.1037;0.02337398
