智能体类别;平均情绪值;智能体数量;情绪标准差;情绪分叉度;集群信任度;群体情绪;归一化的群体情绪
普通公众;0.2949;440;0.2315;0.1292;0.2948194149370812;0.0869422454649452;0.18226885841707588
患者及家属;0.1771;140;0.246;0.1032;0.2853407419512992;0.050533845399575;0.10594097568045073
医学生;0.3201;100;0.2302;0.1689;0.3260336656316391;0.1043633763686877;0.21879114542701825
政策制定者;0.477;40;0.2238;1.0;1.0;0.477;1.0
医学专家;0.2709;100;0.237;0.3145;0.4505638176172577;0.1220577381925151;0.2558862435901784
教育工作者;0.4464;60;0.1787;1.0;0.9630658604347117;0.4299126000980553;0.9012842769351265
媒体;0.3355;80;0.1939;0.4897;0.5585880045759111;0.1874062755352182;0.3928852736587384
协和校友;0.3287;40;0.216;0.4118;0.5129923190063737;0.168620575257395;0.3535022542083753
